Company,Role,Type,City,Region,Visa,Salary (est.),Careers / Apply URL,Known Contact,Find Recruiter (LinkedIn search),Notes,Status,Date Reached Out,Recruiter Name,Response,Next Step,Link Status,Last Verified
Proton,Product Manager,Product,"Geneva, Switzerland",Europe,Likely / check,CHF 110k–160k,https://proton.me/careers,,https://www.linkedin.com/search/results/people/?keywords=Proton%20product%20recruiter,Privacy-tech in scenic Geneva. Mission-driven; international team.,,,,,,ok,2026-07-30
Scandit,Product Manager,Product,"Zurich, Switzerland",Europe,Likely / check,CHF 120k–160k,https://scandit.com/careers/,,https://www.linkedin.com/search/results/people/?keywords=Scandit%20product%20recruiter,"Computer-vision scaleup, Zurich. Relocates talent for senior roles.",,,,,,ok,2026-07-30
Google (Zurich),Product Manager,Product,"Zurich, Switzerland",Europe,Sponsors visa,CHF 140k–200k+,https://www.google.com/about/careers/applications/,,https://www.linkedin.com/search/results/people/?keywords=Google%20product%20recruiter,Google's largest eng hub outside US; scenic + reliable sponsor.,,,,,,ok,2026-07-30
Booking.com,Product Manager,Product,"Amsterdam, NL",Europe,Sponsors visa,€80k–€130k,https://careers.booking.com/,,https://www.linkedin.com/search/results/people/?keywords=Booking.com%20product%20recruiter,One of NL's biggest Highly-Skilled-Migrant visa sponsors. Marketplace/travel PM.,,,,,,ok,2026-07-30
Adyen,Product Manager,Product,"Amsterdam, NL",Europe,Sponsors visa,€80k–€130k,https://careers.adyen.com/,,https://www.linkedin.com/search/results/people/?keywords=Adyen%20product%20recruiter,Payments leader; regularly sponsors HSM visas in Amsterdam.,,,,,,ok,2026-07-30
Mollie,Product Manager,Product,"Amsterdam, NL",Europe,Likely / check,€75k–€115k,https://jobs.mollie.com/,,https://www.linkedin.com/search/results/people/?keywords=Mollie%20product%20recruiter,Amsterdam payments scaleup.,,,,,,ok,2026-07-30
Picnic Technologies,Product Manager / Product Owner,Product,"Amsterdam, NL",Europe,EU permit needed,€60k–€95k,https://jaabz.com/jobs/209264-product-manager-consumer-app,,https://www.linkedin.com/search/results/people/?keywords=Picnic%20Technologies%20product%20recruiter,Hires PMs year-round BUT current listing requires EU work permit — confirm before investing.,,,,,,unknown,2026-07-30
N26,(Senior) Product Manager,Product,Berlin / Vienna / Barcelona,Europe,Sponsors visa,€75k–€115k,https://n26.com/en/careers,candidate.exp@n26.com (candidate experience inbox),https://www.linkedin.com/search/results/people/?keywords=N26%20product%20recruiter,Relocation + visa support stated on PM listings. 80+ nationalities.,,,,,,ok,2026-07-30
Scout24,Product Manager (Growth),Product,"Berlin / Munich, DE",Europe,Sponsors visa,€80k–€110k,https://jaabz.com/jobs/232423-produktmanager-wmd,,https://www.linkedin.com/search/results/people/?keywords=Scout24%20product%20recruiter,Relocation agency + visa support; PropTech marketplace (3–5 yrs PM ideal).,,,,,,unknown,2026-07-30
Delivery Hero,Product Manager,Product,"Berlin, DE",Europe,Sponsors visa,€75k–€115k,https://careers.deliveryhero.com/,,https://www.linkedin.com/search/results/people/?keywords=Delivery%20Hero%20product%20recruiter,Global food-delivery (owns Talabat) — strong fit for Uber/marketplace background.,,,,,,ok,2026-07-30
Zalando,Product Manager,Product,"Berlin, DE",Europe,Likely / check,€75k–€110k,https://jobs.zalando.com/en/,,https://www.linkedin.com/search/results/people/?keywords=Zalando%20product%20recruiter,Large Berlin e-commerce org; relocates international PMs.,,,,,,ok,2026-07-30
NavVis,Cloud Product Owner / PM,Product,"Munich, DE",Europe,Sponsors visa,€80k–€110k,https://jaabz.com/jobs/223538-technical-product-manager-saas-fmd,,https://www.linkedin.com/search/results/people/?keywords=NavVis%20product%20recruiter,Full visa + relocation support stated. Enterprise SaaS / spatial computing.,,,,,,unknown,2026-07-30
Spotify,Product Manager,Product,"Stockholm, SE",Europe,Sponsors visa,SEK 800k–1.2M,https://www.lifeatspotify.com/jobs,,https://www.linkedin.com/search/results/people/?keywords=Spotify%20product%20recruiter,Stockholm HQ (scenic Nordics); relocates global talent.,,,,,,ok,2026-07-30
Klarna,Product Manager,Product,"Stockholm, SE",Europe,Likely / check,SEK 700k–1.1M,https://www.klarna.com/careers/,,https://www.linkedin.com/search/results/people/?keywords=Klarna%20product%20recruiter,Stockholm fintech; AI-forward product org.,,,,,,ok,2026-07-30
Uber (internal transfer),PM II → Senior PM (US/global),Product,San Francisco / NYC / Amsterdam,US,Sponsors visa,$160k–$230k+,https://www.uber.com/us/en/careers/,Your current manager + internal mobility / People team,https://www.linkedin.com/search/results/people/?keywords=Uber%20product%20recruiter,STRONGEST near-term path: as a current employee you may qualify for an L-1 intra-company transfer (no H-1B lottery). Explore Uber Amsterdam (HSM visa) too.,,,,,,unknown,2026-07-30
Google,Product Manager,Product,Mountain View / NYC,US,Sponsors visa,$170k–$230k,https://www.google.com/about/careers/applications/,,https://www.linkedin.com/search/results/people/?keywords=Google%20product%20recruiter,500+ PM H-1B approvals/yr; APM→PM pipeline. Avg PM LCA ~$192k.,,,,,,ok,2026-07-30
Amazon,Product Manager,Product,Seattle / Bay Area,US,Sponsors visa,$150k–$210k,https://www.amazon.jobs/en/,,https://www.linkedin.com/search/results/people/?keywords=Amazon%20product%20recruiter,Largest US PM H-1B sponsor (~800/yr). Robust internal mobility.,,,,,,ok,2026-07-30
Microsoft,Product Manager II,Product,Redmond / Bay Area,US,Sponsors visa,$150k–$210k,https://careers.microsoft.com/,,https://www.linkedin.com/search/results/people/?keywords=Microsoft%20product%20recruiter,Deep PM H-1B track record (~600/yr); PM II→Senior path documented.,,,,,,ok,2026-07-30
Meta,Product Manager,Product,Menlo Park / NYC,US,Sponsors visa,$200k–$260k,https://www.metacareers.com/,,https://www.linkedin.com/search/results/people/?keywords=Meta%20product%20recruiter,Technical PM roles; high avg comp (~$234k LCA). RPM program.,,,,,,ok,2026-07-30
DoorDash,Product Manager,Product,"San Francisco, US",US,Sponsors visa,$160k–$230k,https://careers.doordash.com/,,https://www.linkedin.com/search/results/people/?keywords=DoorDash%20product%20recruiter,Marketplace/logistics PM — natural fit for Uber background. Sponsors H-1B.,,,,,,unknown,2026-07-30
Airbnb,Product Manager,Product,"San Francisco, US",US,Sponsors visa,$170k–$240k,https://careers.airbnb.com/,,https://www.linkedin.com/search/results/people/?keywords=Airbnb%20product%20recruiter,Platform PM roles; established H-1B precedent.,,,,,,ok,2026-07-30
Databricks,Product Manager,Product,"San Francisco, US",US,Sponsors visa,$170k–$240k,https://www.databricks.com/company/careers,,https://www.linkedin.com/search/results/people/?keywords=Databricks%20product%20recruiter,Data-platform PM; technical JDs strengthen visa case. Also hires in Amsterdam.,,,,,,ok,2026-07-30
Careem (Uber-owned),Product Manager II — Grocery (founding team),Founding,"Dubai, UAE",Dubai,Sponsors visa,AED 25k–40k/mo (tax-free),https://boards.greenhouse.io/careem/jobs/7799141002,,https://www.linkedin.com/search/results/people/?keywords=Careem%20product%20recruiter,"Ex-Uber DNA + you're already Uber — internal familiarity is an edge. Founding grocery team, IC PM II role. UAE sponsors work visas.",,,,,,ok,2026-07-30
Noon,Product Manager 2,Product,"Dubai, UAE",Dubai,Sponsors visa,AED 22k–35k/mo (tax-free),https://www.jobaaj.com/job/noon-product-manager-2-dubai-united-arab-emirates-4-to-6-years-1158137,,https://www.linkedin.com/search/results/people/?keywords=Noon%20product%20recruiter,Largest GCC e-commerce; marketplace/consumer-app PM. 4–6 yrs.,,,,,,ok,2026-07-30
Talabat (Delivery Hero),Product Manager,Product,"Dubai, UAE",Dubai,Sponsors visa,AED 22k–35k/mo (tax-free),https://www.talabat.com/careers,,https://www.linkedin.com/search/results/people/?keywords=Talabat%20product%20recruiter,"Delivery super-app, Berlin product practices. Strong fit for Uber Eats-style background.",,,,,,stale,2026-07-30
Tabby,Product Manager,Product,"Dubai, UAE",Dubai,Likely / check,AED 25k–40k/mo (tax-free),https://tabby.ai/careers,,https://www.linkedin.com/search/results/people/?keywords=Tabby%20product%20recruiter,MENA BNPL unicorn; fast-growing fintech product org.,,,,,,ok,2026-07-30
Property Finder,Product Manager,Product,"Dubai, UAE",Dubai,Likely / check,AED 22k–35k/mo (tax-free),https://www.propertyfinder.ae/en/careers,,https://www.linkedin.com/search/results/people/?keywords=Property%20Finder%20product%20recruiter,PropTech marketplace; product-led org in Dubai.,,,,,,unknown,2026-07-30
Lago (YC),Growth Chief of Staff (BizOps/GTM),Founding,Remote (Europe) · SF HQ,Remote,Confirm w/ company,€80k–€110k,https://www.ycombinator.com/companies/lago/jobs/wNlGfdi-growth-chief-of-staff,"Founders: Anh-Tho Chuong (CEO), Raffi Sarkissian",https://www.linkedin.com/search/results/people/?keywords=Lago%20product%20recruiter,"Open-source billing, YC. Founder's-office role w/ GTM ownership. 5+ yrs BizOps/RevOps. Apply via founders directly.",,,,,,stale,2026-07-30
Verso (Hexa / eFounders),Chief of Staff,Founding,"Paris, France",Europe,Confirm w/ company,€60k–€90k + equity,https://www.collective.work/jobs/en/chief-of-staff-verso-backed-by-hexa-tmi0,"Founders: Lydia Bellahouel (CEO, ex-BCG), Camille Epitalon (CTO)",https://www.linkedin.com/search/results/people/?keywords=Verso%20product%20recruiter,"2025 AI startup from Hexa studio (made Front, Aircall, Spendesk). Ops backbone + fundraising. 3–5 yrs.",,,,,,ok,2026-07-30
Granite / Bifrost Studios,Chief of Staff (→ VP Ops/COO),Founding,"Copenhagen (hybrid, EU)",Europe,Confirm w/ company,Competitive + equity,https://join.com/companies/bifrost/16308202-chief-of-staff-hybrid-in-europe,Founding team (exited founders) — reach via listing,https://www.linkedin.com/search/results/people/?keywords=Granite%20/%20Bifrost%20Studios%20product%20recruiter,"Agentic cloud infra; first operational hire, direct line to CEO. 4+ yrs CoS/BizOps.",,,,,,stale,2026-07-30
Gojiberry AI (YC P26),Founding Product Manager,Founding,Remote (US/EU/UK),Remote,Confirm w/ company,€55k–€90k + equity,https://www.ycombinator.com/companies/gojiberry-ai/jobs/LSE9w6D-founding-product-manager-full-remote-ai-saas,Founders (via YC listing),https://www.linkedin.com/search/results/people/?keywords=Gojiberry%20AI%20product%20recruiter,AI-native GTM platform. 'US visa not required.' Figma + AI-tool fluency expected. 5+ yrs PM.,,,,,,stale,2026-07-30
duvo.ai,Founding Product Manager,Founding,Remote (EU/UK) · Prague HQ,Remote,Confirm w/ company,Equity-heavy + comp,https://builtin.com/job/founding-product-manager/8989874,Hiring manager screen first (per their process),https://www.linkedin.com/search/results/people/?keywords=duvo.ai%20product%20recruiter,AI ops for retail/CPG. 0→1 product ownership. EU/UK-based remote.,,,,,,ok,2026-07-30
handly (20VC-backed),Founding Product Manager,Founding,"Berlin, DE (in-office)",Europe,EU permit needed,€80k–€100k,https://join.com/companies/handly/16256640-founding-product-manager-handly-20vc-backed,Bastian Meyer — Co-Founder & CEO,https://www.linkedin.com/search/results/people/?keywords=handly%20product%20recruiter,AI OS for craft businesses. NOTE: requires fluent German (product is German). Builder PM role.,,,,,,ok,2026-07-30
Product Manager,Product Manager,Product,Germany/EU,Europe,Sponsors visa,,https://www.arbeitnow.com/jobs/product-manager,,https://www.linkedin.com/search/results/people/?keywords=Product%20Manager%20product%20recruiter,Auto-discovered from Arbeitnow visa-sponsorship board. Verify listing before applying.,,,,,,ok,2026-07-30
